Department Longname,Department,Sector,Fuel Type,Year (Fiscal Year),Quantity,Units,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Public Works,PWD,Vehicles,Gasoline,2018,"157,744",gallons,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Public Works,PWD,Vehicles,Gasoline,2019,"160,632",gallons,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Public Works,PWD,Vehicles,Biodiesel,2018,"76,994",gallons,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Public Works,PWD,Vehicles,Propane,2019,"36,563",gallons,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Public Works Streetlights,PWD Streetlights,Street Lights,Electricity,2005,"64,868,038",kWh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Public Works Streetlights,PWD Streetlights,Street Lights,Electricity,2006,"64,762,660",kWh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Public Works Streetlights,PWD Streetlights,Street Lights,Electricity,2007,"65,332,342",kWh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Public Works Streetlights,PWD Streetlights,Street Lights,Electricity,2008,"64,840,226",kWh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Public Works Streetlights,PWD Streetlights,Street Lights,Electricity,2009,"64,859,051",kWh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Public Works Streetlights,PWD Streetlights,Street Lights,Electricity,2010,"64,997,820",kWh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Public Works Streetlights,PWD Streetlights,Street Lights,Electricity,2011,"63,321,610",kWh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Public Works Streetlights,PWD Streetlights,Street Lights,Electricity,2012,"49,749,702",kWh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Public Works Streetlights,PWD Streetlights,Street Lights,Electricity,2013,"47,051,326",kWh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Public Works Streetlights,PWD Streetlights,Street Lights,Electricity,2014,"41,912,733",kWh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Public Works Streetlights,PWD Streetlights,Street Lights,Electricity,2015,"34,247,764",kWh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Public Works Streetlights,PWD Streetlights,Street Lights,Electricity,2016,"30,473,371",kWh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Public Works Streetlights,PWD Streetlights,Street Lights,Electricity,2017,"25,415,148",kWh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Public Works Streetlights,PWD Streetlights,Street Lights,Electricity,2018,"25,560,251",kWh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Public Works Streetlights,PWD Streetlights,Street Lights,Electricity,2019,"26,360,497",kWh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Transportation,BTD,Buildings,Electricity,2005,"753,782",kWh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Transportation,BTD,Buildings,Electricity,2006,"627,920",kWh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Transportation,BTD,Buildings,Electricity,2007,"598,929",kWh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Transportation,BTD,Buildings,Electricity,2008,"655,969",kWh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Transportation,BTD,Buildings,Electricity,2009,"534,737",kWh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Transportation,BTD,Buildings,Electricity,2010,"734,557",kWh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Transportation,BTD,Buildings,Electricity,2011,"754,202",kWh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Transportation,BTD,Buildings,Electricity,2012,"737,906",kWh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Transportation,BTD,Buildings,Electricity,2013,"750,723",kWh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Transportation,BTD,Buildings,Electricity,2014,"713,758",kWh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Transportation,BTD,Buildings,Electricity,2015,"591,126",kWh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Transportation,BTD,Buildings,Electricity,2016, - ,kWh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Transportation,BTD,Buildings,Electricity,2017, - ,kWh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Transportation,BTD,Buildings,Electricity,2018,-,kWh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Transportation,BTD,Buildings,Electricity,2019,-,kWh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Transportation,BTD,Buildings,Fuel Oil,2005,"3,887",gallons,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Transportation,BTD,Buildings,Fuel Oil,2006,"7,863",gallons,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Transportation,BTD,Buildings,Fuel Oil,2007,"6,184",gallons,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Transportation,BTD,Buildings,Fuel Oil,2008,"1,325",gallons,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Transportation,BTD,Buildings,Fuel Oil,2009,"1,237",gallons,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Transportation,BTD,Buildings,Fuel Oil,2010,806,gallons,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Transportation,BTD,Buildings,Fuel Oil,2011,"1,245",gallons,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Transportation,BTD,Buildings,Fuel Oil,2012,519,gallons,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Transportation,BTD,Buildings,Fuel Oil,2013,"1,659",gallons,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Transportation,BTD,Buildings,Fuel Oil,2014,"1,726",gallons,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Transportation,BTD,Buildings,Fuel Oil,2015,"2,287",gallons,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Transportation,BTD,Buildings,Fuel Oil,2016,833,gallons,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Transportation,BTD,Buildings,Fuel Oil,2017,"1,504",gallons,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Transportation,BTD,Buildings,Fuel Oil,2018,"1,952",gallons,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Transportation,BTD,Buildings,Fuel Oil,2019,"2,779",gallons,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Transportation,BTD,Buildings,Natural Gas,2005,"36,842",Therms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Transportation,BTD,Buildings,Natural Gas,2006,"28,647",Therms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Transportation,BTD,Buildings,Natural Gas,2007,"31,793",Therms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Transportation,BTD,Buildings,Natural Gas,2008,"30,697",Therms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Transportation,BTD,Buildings,Natural Gas,2009,"35,574",Therms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Transportation,BTD,Buildings,Natural Gas,2010,"32,049",Therms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Transportation,BTD,Buildings,Natural Gas,2011,"35,663",Therms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Transportation,BTD,Buildings,Natural Gas,2012,"26,832",Therms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Transportation,BTD,Buildings,Natural Gas,2013,"34,319",Therms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Transportation,BTD,Buildings,Natural Gas,2014,"40,901",Therms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Transportation,BTD,Buildings,Natural Gas,2015,"42,634",Therms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Transportation,BTD,Buildings,Natural Gas,2016,"18,135",Therms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Transportation,BTD,Buildings,Natural Gas,2017,"7,192",Therms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Transportation,BTD,Buildings,Natural Gas,2018,"9,561",Therms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Transportation,BTD,Buildings,Natural Gas,2019,"7,559",Therms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Transportation,BTD,Vehicles,Diesel,2005, - ,gallons,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Transportation,BTD,Vehicles,Diesel,2006, - ,gallons,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Transportation,BTD,Vehicles,Diesel,2007, - ,gallons,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Transportation,BTD,Vehicles,Diesel,2008,"32,223",gallons,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Transportation,BTD,Vehicles,Diesel,2009,"32,667",gallons,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Transportation,BTD,Vehicles,Diesel,2010,"28,073",gallons,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Transportation,BTD,Vehicles,Diesel,2011,"29,523",gallons,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Transportation,BTD,Vehicles,Diesel,2012,"32,534",gallons,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Transportation,BTD,Vehicles,Diesel,2013,"29,660",gallons,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Transportation,BTD,Vehicles,Diesel,2014,"36,631",gallons,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Transportation,BTD,Vehicles,Diesel,2015, - ,gallons,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Transportation,BTD,Vehicles,Diesel,2016, - ,gallons,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Transportation,BTD,Vehicles,Diesel,2017, - ,gallons,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Transportation,BTD,Vehicles,Diesel,2018, - ,gallons,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Transportation,BTD,Vehicles,Diesel,2019, - ,gallons,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Transportation,BTD,Vehicles,Gasoline,2005, - ,gallons,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Transportation,BTD,Vehicles,Gasoline,2006, - ,gallons,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Transportation,BTD,Vehicles,Gasoline,2007, - ,gallons,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Transportation,BTD,Vehicles,Gasoline,2008,"108,214",gallons,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Transportation,BTD,Vehicles,Gasoline,2009,"110,271",gallons,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Transportation,BTD,Vehicles,Gasoline,2010,"112,140",gallons,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Transportation,BTD,Vehicles,Gasoline,2011,"103,949",gallons,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Transportation,BTD,Vehicles,Gasoline,2012,"96,375",gallons,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Transportation,BTD,Vehicles,Gasoline,2013,"95,456",gallons,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Transportation,BTD,Vehicles,Gasoline,2014,"92,827",gallons,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Transportation,BTD,Vehicles,Gasoline,2015,"20,813",gallons,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Transportation,BTD,Vehicles,Gasoline,2016, - ,gallons,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Transportation,BTD,Vehicles,Gasoline,2017, - ,gallons,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Transportation,BTD,Vehicles,Gasoline,2018,"10,112.00",gallons,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Transportation,BTD,Vehicles,Gasoline,2019,"33,669.00",gallons,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Transportation Streetlights,BTD Traffic signals,Street Lights,Electricity,2005,"5,384,375",kWh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Transportation Streetlights,BTD Traffic signals,Street Lights,Electricity,2006,"4,336,906",kWh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Transportation Streetlights,BTD Traffic signals,Street Lights,Electricity,2007,"3,632,790",kWh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Transportation Streetlights,BTD Traffic signals,Street Lights,Electricity,2008,"2,941,355",kWh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Transportation Streetlights,BTD Traffic signals,Street Lights,Electricity,2009,"2,458,721",kWh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Transportation Streetlights,BTD Traffic signals,Street Lights,Electricity,2010,"2,423,939",kWh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Transportation Streetlights,BTD Traffic signals,Street Lights,Electricity,2011,"2,347,206",kWh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Transportation Streetlights,BTD Traffic signals,Street Lights,Electricity,2012,"2,257,540",kWh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Transportation Streetlights,BTD Traffic signals,Street Lights,Electricity,2013,"2,216,687",kWh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Transportation Streetlights,BTD Traffic signals,Street Lights,Electricity,2014,"2,216,688",kWh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Transportation Streetlights,BTD Traffic signals,Street Lights,Electricity,2015,"2,157,935",kWh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Transportation Streetlights,BTD Traffic signals,Street Lights,Electricity,2016,"2,583,537",kWh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Transportation Streetlights,BTD Traffic signals,Street Lights,Electricity,2017,"2,387,064",kWh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Transportation Streetlights,BTD Traffic signals,Street Lights,Electricity,2018,"2,381,628",kWh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Transportation Streetlights,BTD Traffic signals,Street Lights,Electricity,2019,"2,259,514",kWh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Water and Sewer Commission,BWSC,Buildings,Electricity,2005,"6,092,203",kWh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Water and Sewer Commission,BWSC,Buildings,Electricity,2006,"5,208,184",kWh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Water and Sewer Commission,BWSC,Buildings,Electricity,2007,"5,334,226",kWh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Water and Sewer Commission,BWSC,Buildings,Electricity,2008,"4,712,250",kWh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Water and Sewer Commission,BWSC,Buildings,Electricity,2009,"5,286,327",kWh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Water and Sewer Commission,BWSC,Buildings,Electricity,2010,"4,475,007",kWh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Water and Sewer Commission,BWSC,Buildings,Electricity,2011,"4,191,074",kWh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Water and Sewer Commission,BWSC,Buildings,Electricity,2012,"1,810,940",kWh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Water and Sewer Commission,BWSC,Buildings,Electricity,2013,"3,840,173",kWh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Water and Sewer Commission,BWSC,Buildings,Electricity,2014,"5,316,475",kWh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Water and Sewer Commission,BWSC,Buildings,Electricity,2015,"5,565,807",kWh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Water and Sewer Commission,BWSC,Buildings,Electricity,2016,"5,432,144",kWh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Water and Sewer Commission,BWSC,Buildings,Electricity,2017,"5,430,005",kWh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Water and Sewer Commission,BWSC,Buildings,Electricity,2018,"3,946,855",kWh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Water and Sewer Commission,BWSC,Buildings,Electricity,2019,"3,946,855",kWh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Water and Sewer Commission,BWSC,Buildings,Natural Gas,2005,"141,483",Therms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Water and Sewer Commission,BWSC,Buildings,Natural Gas,2006,"111,275",Therms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Water and Sewer Commission,BWSC,Buildings,Natural Gas,2007,"122,880",Therms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Water and Sewer Commission,BWSC,Buildings,Natural Gas,2008,"121,685",Therms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Water and Sewer Commission,BWSC,Buildings,Natural Gas,2009,"166,912",Therms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Water and Sewer Commission,BWSC,Buildings,Natural Gas,2010,"124,518",Therms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Water and Sewer Commission,BWSC,Buildings,Natural Gas,2011,"239,081",Therms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Water and Sewer Commission,BWSC,Buildings,Natural Gas,2012,"147,062",Therms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Water and Sewer Commission,BWSC,Buildings,Natural Gas,2013,"189,403",Therms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Water and Sewer Commission,BWSC,Buildings,Natural Gas,2014,"210,812",Therms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Water and Sewer Commission,BWSC,Buildings,Natural Gas,2015,"161,550",Therms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Water and Sewer Commission,BWSC,Buildings,Natural Gas,2015,"183,796",Therms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Water and Sewer Commission,BWSC,Buildings,Natural Gas,2017,"190,624",Therms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Water and Sewer Commission,BWSC,Buildings,Natural Gas,2018,"162,632",Therms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Water and Sewer Commission,BWSC,Buildings,Natural Gas,2019,"162,632",Therms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Water and Sewer Commission,BWSC,Vehicles,Diesel,2005,"81,844",gallons,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Water and Sewer Commission,BWSC,Vehicles,Diesel,2006,"72,435",gallons,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Water and Sewer Commission,BWSC,Vehicles,Diesel,2007,"83,975",gallons,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Water and Sewer Commission,BWSC,Vehicles,Diesel,2008,"79,537",gallons,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Water and Sewer Commission,BWSC,Vehicles,Diesel,2009,"79,537",gallons,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Water and Sewer Commission,BWSC,Vehicles,Diesel,2010,"71,813",gallons,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Water and Sewer Commission,BWSC,Vehicles,Diesel,2011,"62,937",gallons,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Water and Sewer Commission,BWSC,Vehicles,Diesel,2012,"59,650",gallons,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Water and Sewer Commission,BWSC,Vehicles,Diesel,2013,"63,635",gallons,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Water and Sewer Commission,BWSC,Vehicles,Diesel,2014,"76,138",gallons,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Water and Sewer Commission,BWSC,Vehicles,Diesel,2015,"66,770",gallons,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Water and Sewer Commission,BWSC,Vehicles,Diesel,2016,"66,451",gallons,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Water and Sewer Commission,BWSC,Vehicles,Diesel,2017,"73,129",gallons,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Water and Sewer Commission,BWSC,Vehicles,Diesel,2018,"2,512",gallons,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Water and Sewer Commission,BWSC,Vehicles,Diesel,2019,"2,512",gallons,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Water and Sewer Commission,BWSC,Vehicles,Gasoline,2005,"77,919",gallons,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Water and Sewer Commission,BWSC,Vehicles,Gasoline,2006,"77,540",gallons,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Water and Sewer Commission,BWSC,Vehicles,Gasoline,2007,"82,281",gallons,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Water and Sewer Commission,BWSC,Vehicles,Gasoline,2008,"79,088",gallons,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Water and Sewer Commission,BWSC,Vehicles,Gasoline,2009,"75,470",gallons,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Water and Sewer Commission,BWSC,Vehicles,Gasoline,2010,"78,019",gallons,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Water and Sewer Commission,BWSC,Vehicles,Gasoline,2011,"75,060",gallons,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Water and Sewer Commission,BWSC,Vehicles,Gasoline,2012,"67,542",gallons,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Water and Sewer Commission,BWSC,Vehicles,Gasoline,2013,"66,503",gallons,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Water and Sewer Commission,BWSC,Vehicles,Gasoline,2014,"68,544",gallons,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Water and Sewer Commission,BWSC,Vehicles,Gasoline,2015,"75,562",gallons,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Water and Sewer Commission,BWSC,Vehicles,Gasoline,2016,"65,958",gallons,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Water and Sewer Commission,BWSC,Vehicles,Gasoline,2017,"77,808",gallons,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Water and Sewer Commission,BWSC,Vehicles,Gasoline,2018,"100,610",gallons,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Water and Sewer Commission,BWSC,Vehicles,Gasoline,2019,"100,610",gallons,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Water and Sewer Commission,BWSC,Vehicles,Biodiesel,2018,"78,283",gallons,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Water and Sewer Commission,BWSC,Vehicles,Biodiesel,2019,"78,283",gallons,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
