Protocol,Department Longname,Department,Sector,Fuel Type,Year (Fiscal Year),GHG Emissions (t CO2e),,,,,,,,,
ICLEI: Local Government Operations Protocol,Boston Public Schools,BPS,Buildings,Electricity,2009,"22,800",,,,,,,,,
ICLEI: Local Government Operations Protocol,Boston Public Schools,BPS,Buildings,Electricity,2010,"19,759",,,,,,,,,
ICLEI: Local Government Operations Protocol,Boston Public Schools,BPS,Buildings,Electricity,2011,"18,006",,,,,,,,,
ICLEI: Local Government Operations Protocol,Boston Public Schools,BPS,Buildings,Electricity,2012,"16,542",,,,,,,,,
ICLEI: Local Government Operations Protocol,Boston Public Schools,BPS,Buildings,Electricity,2013,"15,713",,,,,,,,,
ICLEI: Local Government Operations Protocol,Boston Public Schools,BPS,Buildings,Electricity,2014,"15,598",,,,,,,,,
ICLEI: Local Government Operations Protocol,Boston Public Schools,BPS,Buildings,Electricity,2015,"18,106",,,,,,,,,
ICLEI: Local Government Operations Protocol,Boston Public Schools,BPS,Buildings,Electricity,2016,"18,049",,,,,,,,,
ICLEI: Local Government Operations Protocol,Boston Public Schools,BPS,Buildings,Electricity,2017,"14,066",,,,,,,,,
ICLEI: Local Government Operations Protocol,Boston Public Schools,BPS,Buildings,Electricity,2018,"17,373",,,,,,,,,
ICLEI: Local Government Operations Protocol,Boston Public Schools,BPS,Buildings,Electricity,2019,"16,376",,,,,,,,,
ICLEI: Local Government Operations Protocol,Boston Public Schools,BPS,Buildings,Fuel Oil,2005,                  -  ,,,,,,,,,
ICLEI: Local Government Operations Protocol,Boston Public Schools,BPS,Buildings,Fuel Oil,2006,                  -  ,,,,,,,,,
ICLEI: Local Government Operations Protocol,Boston Public Schools,BPS,Buildings,Fuel Oil,2007,                  -  ,,,,,,,,,
ICLEI: Local Government Operations Protocol,Boston Public Schools,BPS,Buildings,Fuel Oil,2008,44,,,,,,,,,
ICLEI: Local Government Operations Protocol,Boston Public Schools,BPS,Buildings,Fuel Oil,2009,38,,,,,,,,,
ICLEI: Local Government Operations Protocol,Boston Public Schools,BPS,Buildings,Fuel Oil,2010,39,,,,,,,,,
ICLEI: Local Government Operations Protocol,Boston Public Schools,BPS,Buildings,Fuel Oil,2011,70,,,,,,,,,
ICLEI: Local Government Operations Protocol,Boston Public Schools,BPS,Buildings,Fuel Oil,2012,48,,,,,,,,,
ICLEI: Local Government Operations Protocol,Boston Public Schools,BPS,Buildings,Fuel Oil,2013,56,,,,,,,,,
ICLEI: Local Government Operations Protocol,Boston Public Schools,BPS,Buildings,Fuel Oil,2014,124,,,,,,,,,
ICLEI: Local Government Operations Protocol,Boston Public Schools,BPS,Buildings,Fuel Oil,2015,0,,,,,,,,,
ICLEI: Local Government Operations Protocol,Boston Public Schools,BPS,Buildings,Fuel Oil,2016,33,,,,,,,,,
ICLEI: Local Government Operations Protocol,Boston Public Schools,BPS,Buildings,Fuel Oil,2017,46,,,,,,,,,
ICLEI: Local Government Operations Protocol,Boston Public Schools,BPS,Buildings,Fuel Oil,2018,58,,,,,,,,,
ICLEI: Local Government Operations Protocol,Boston Public Schools,BPS,Buildings,Fuel Oil,2019,60,,,,,,,,,
ICLEI: Local Government Operations Protocol,Boston Public Schools,BPS,Buildings,Natural Gas,2005,"34,721",,,,,,,,,
ICLEI: Local Government Operations Protocol,Boston Public Schools,BPS,Buildings,Natural Gas,2006,"33,540",,,,,,,,,
ICLEI: Local Government Operations Protocol,Boston Public Schools,BPS,Buildings,Natural Gas,2007,"36,595",,,,,,,,,
ICLEI: Local Government Operations Protocol,Boston Public Schools,BPS,Buildings,Natural Gas,2008,"32,673",,,,,,,,,
ICLEI: Local Government Operations Protocol,Boston Public Schools,BPS,Buildings,Natural Gas,2009,"33,060",,,,,,,,,
ICLEI: Local Government Operations Protocol,Boston Public Schools,BPS,Buildings,Natural Gas,2010,"32,055",,,,,,,,,
ICLEI: Local Government Operations Protocol,Boston Public Schools,BPS,Buildings,Natural Gas,2011,"36,754",,,,,,,,,
ICLEI: Local Government Operations Protocol,Boston Public Schools,BPS,Buildings,Natural Gas,2012,"32,330",,,,,,,,,
ICLEI: Local Government Operations Protocol,Boston Public Schools,BPS,Buildings,Natural Gas,2013,"36,710",,,,,,,,,
ICLEI: Local Government Operations Protocol,Boston Public Schools,BPS,Buildings,Natural Gas,2014,"37,344",,,,,,,,,
ICLEI: Local Government Operations Protocol,Boston Public Schools,BPS,Buildings,Natural Gas,2015,"37,310",,,,,,,,,
ICLEI: Local Government Operations Protocol,Boston Public Schools,BPS,Buildings,Natural Gas,2016,"30,867",,,,,,,,,
ICLEI: Local Government Operations Protocol,Boston Public Schools,BPS,Buildings,Natural Gas,2017,31930,,,,,,,,,
ICLEI: Local Government Operations Protocol,Boston Public Schools,BPS,Buildings,Natural Gas,2018,34446,,,,,,,,,
ICLEI: Local Government Operations Protocol,Boston Public Schools,BPS,Buildings,Natural Gas,2019,33487.11085,,,,,,,,,
ICLEI: Local Government Operations Protocol,Boston Public Schools,BPS,Vehicles,Diesel,2005,"13,791",,,,,,,,,
ICLEI: Local Government Operations Protocol,Boston Public Schools,BPS,Vehicles,Diesel,2006,"13,811",,,,,,,,,
ICLEI: Local Government Operations Protocol,Boston Public Schools,BPS,Vehicles,Diesel,2007,"14,585",,,,,,,,,
ICLEI: Local Government Operations Protocol,Boston Public Schools,BPS,Vehicles,Diesel,2008,"14,737",,,,,,,,,
ICLEI: Local Government Operations Protocol,Boston Public Schools,BPS,Vehicles,Diesel,2009,"14,727",,,,,,,,,
ICLEI: Local Government Operations Protocol,Boston Public Schools,BPS,Vehicles,Diesel,2010,"13,628",,,,,,,,,
ICLEI: Local Government Operations Protocol,Boston Public Schools,BPS,Vehicles,Diesel,2011,"14,502",,,,,,,,,
ICLEI: Local Government Operations Protocol,Boston Public Schools,BPS,Vehicles,Diesel,2012,"14,349",,,,,,,,,
ICLEI: Local Government Operations Protocol,Boston Public Schools,BPS,Vehicles,Diesel,2013,"14,948",,,,,,,,,
ICLEI: Local Government Operations Protocol,Boston Public Schools,BPS,Vehicles,Diesel,2014,"15,507",,,,,,,,,
ICLEI: Local Government Operations Protocol,Boston Public Schools,BPS,Vehicles,Diesel,2015,"14,301",,,,,,,,,
ICLEI: Local Government Operations Protocol,Boston Public Schools,BPS,Vehicles,Diesel,2016,"12,548",,,,,,,,,
ICLEI: Local Government Operations Protocol,Boston Public Schools,BPS,Vehicles,Diesel,2017,11045,,,,,,,,,
ICLEI: Local Government Operations Protocol,Boston Public Schools,BPS,Vehicles,Diesel,2018,8276,,,,,,,,,
ICLEI: Local Government Operations Protocol,Boston Public Schools,BPS,Vehicles,Diesel,2019,8165,,,,,,,,,
ICLEI: Local Government Operations Protocol,Boston Public Schools,BPS,Vehicles,Gasoline,2005,195,,,,,,,,,
ICLEI: Local Government Operations Protocol,Boston Public Schools,BPS,Vehicles,Gasoline,2006,195,,,,,,,,,
ICLEI: Local Government Operations Protocol,Boston Public Schools,BPS,Vehicles,Gasoline,2007,296,,,,,,,,,
ICLEI: Local Government Operations Protocol,Boston Public Schools,BPS,Vehicles,Gasoline,2008,334,,,,,,,,,
ICLEI: Local Government Operations Protocol,Boston Public Schools,BPS,Vehicles,Gasoline,2009,322,,,,,,,,,
ICLEI: Local Government Operations Protocol,Boston Public Schools,BPS,Vehicles,Gasoline,2010,316,,,,,,,,,
ICLEI: Local Government Operations Protocol,Boston Public Schools,BPS,Vehicles,Gasoline,2011,309,,,,,,,,,
ICLEI: Local Government Operations Protocol,Boston Public Schools,BPS,Vehicles,Gasoline,2012,333,,,,,,,,,
ICLEI: Local Government Operations Protocol,Boston Public Schools,BPS,Vehicles,Gasoline,2013,276,,,,,,,,,
ICLEI: Local Government Operations Protocol,Boston Public Schools,BPS,Vehicles,Gasoline,2014,484,,,,,,,,,
ICLEI: Local Government Operations Protocol,Boston Public Schools,BPS,Vehicles,Gasoline,2015,125,,,,,,,,,
ICLEI: Local Government Operations Protocol,Boston Public Schools,BPS,Vehicles,Gasoline,2016,210,,,,,,,,,
ICLEI: Local Government Operations Protocol,Boston Public Schools,BPS,Vehicles,Gasoline,2017,274,,,,,,,,,
ICLEI: Local Government Operations Protocol,Boston Public Schools,BPS,Vehicles,Gasoline,2018,245,,,,,,,,,
ICLEI: Local Government Operations Protocol,Boston Public Schools,BPS,Vehicles,Gasoline,2019,194,,,,,,,,,
ICLEI: Local Government Operations Protocol,Boston Public Schools,BPS,Vehicles,Propane,2016,1772,,,,,,,,,
ICLEI: Local Government Operations Protocol,Boston Public Schools,BPS,Vehicles,Propane,2017,4284,,,,,,,,,
ICLEI: Local Government Operations Protocol,Boston Public Schools,BPS,Vehicles,Propane,2018,5115,,,,,,,,,
ICLEI: Local Government Operations Protocol,Boston Public Schools,BPS,Vehicles,Propane,2019,5021,,,,,,,,,
ICLEI: Local Government Operations Protocol,Center for Youth and Families,BCYF,Buildings,Electricity,2005,"1,367",,,,,,,,,
ICLEI: Local Government Operations Protocol,Center for Youth and Families,BCYF,Buildings,Electricity,2006,"1,447",,,,,,,,,
ICLEI: Local Government Operations Protocol,Center for Youth and Families,BCYF,Buildings,Electricity,2007,"1,395",,,,,,,,,
ICLEI: Local Government Operations Protocol,Center for Youth and Families,BCYF,Buildings,Electricity,2008,"1,573",,,,,,,,,
ICLEI: Local Government Operations Protocol,Center for Youth and Families,BCYF,Buildings,Electricity,2009,"1,589",,,,,,,,,
ICLEI: Local Government Operations Protocol,Center for Youth and Families,BCYF,Buildings,Electricity,2010,"1,494",,,,,,,,,
ICLEI: Local Government Operations Protocol,Center for Youth and Families,BCYF,Buildings,Electricity,2011,"1,431",,,,,,,,,
ICLEI: Local Government Operations Protocol,Center for Youth and Families,BCYF,Buildings,Electricity,2012,"1,253",,,,,,,,,
ICLEI: Local Government Operations Protocol,Center for Youth and Families,BCYF,Buildings,Electricity,2013,"1,345",,,,,,,,,
ICLEI: Local Government Operations Protocol,Center for Youth and Families,BCYF,Buildings,Electricity,2014,"1,381",,,,,,,,,
ICLEI: Local Government Operations Protocol,Center for Youth and Families,BCYF,Buildings,Electricity,2015,"1,444",,,,,,,,,
ICLEI: Local Government Operations Protocol,Center for Youth and Families,BCYF,Buildings,Electricity,2016,"1,341",,,,,,,,,
ICLEI: Local Government Operations Protocol,Center for Youth and Families,BCYF,Buildings,Electricity,2017,1275,,,,,,,,,
