Protocol,Department Longname,Department,Sector,Fuel Type,Year (Fiscal Year),GHG Emissions (t CO2e),,,,,,,,,
ICLEI: Local Government Operations Protocol,Emergency Medical Services,EMS,Vehicles,Diesel,2009,850,,,,,,,,,
ICLEI: Local Government Operations Protocol,Emergency Medical Services,EMS,Vehicles,Diesel,2010,963,,,,,,,,,
ICLEI: Local Government Operations Protocol,Emergency Medical Services,EMS,Vehicles,Diesel,2011,"1,057",,,,,,,,,
ICLEI: Local Government Operations Protocol,Emergency Medical Services,EMS,Vehicles,Diesel,2012,"1,086",,,,,,,,,
ICLEI: Local Government Operations Protocol,Emergency Medical Services,EMS,Vehicles,Diesel,2013,"1,219",,,,,,,,,
ICLEI: Local Government Operations Protocol,Emergency Medical Services,EMS,Vehicles,Diesel,2014,"1,134",,,,,,,,,
ICLEI: Local Government Operations Protocol,Emergency Medical Services,EMS,Vehicles,Diesel,2015,895,,,,,,,,,
ICLEI: Local Government Operations Protocol,Emergency Medical Services,EMS,Vehicles,Diesel,2016,                  -  ,,,,,,,,,
ICLEI: Local Government Operations Protocol,Emergency Medical Services,EMS,Vehicles,Diesel,2017,                  -  ,,,,,,,,,
ICLEI: Local Government Operations Protocol,Emergency Medical Services,EMS,Vehicles,Diesel,2018,                  -  ,,,,,,,,,
ICLEI: Local Government Operations Protocol,Emergency Medical Services,EMS,Vehicles,Diesel,2019,                  -  ,,,,,,,,,
ICLEI: Local Government Operations Protocol,Emergency Medical Services,EMS,Vehicles,Gasoline,2005,                  -  ,,,,,,,,,
ICLEI: Local Government Operations Protocol,Emergency Medical Services,EMS,Vehicles,Gasoline,2006,                  -  ,,,,,,,,,
ICLEI: Local Government Operations Protocol,Emergency Medical Services,EMS,Vehicles,Gasoline,2007,288,,,,,,,,,
ICLEI: Local Government Operations Protocol,Emergency Medical Services,EMS,Vehicles,Gasoline,2008,349,,,,,,,,,
ICLEI: Local Government Operations Protocol,Emergency Medical Services,EMS,Vehicles,Gasoline,2009,325,,,,,,,,,
ICLEI: Local Government Operations Protocol,Emergency Medical Services,EMS,Vehicles,Gasoline,2010,219,,,,,,,,,
ICLEI: Local Government Operations Protocol,Emergency Medical Services,EMS,Vehicles,Gasoline,2011,219,,,,,,,,,
ICLEI: Local Government Operations Protocol,Emergency Medical Services,EMS,Vehicles,Gasoline,2012,198,,,,,,,,,
ICLEI: Local Government Operations Protocol,Emergency Medical Services,EMS,Vehicles,Gasoline,2013,215,,,,,,,,,
ICLEI: Local Government Operations Protocol,Emergency Medical Services,EMS,Vehicles,Gasoline,2014,220,,,,,,,,,
ICLEI: Local Government Operations Protocol,Emergency Medical Services,EMS,Vehicles,Gasoline,2015,196,,,,,,,,,
ICLEI: Local Government Operations Protocol,Emergency Medical Services,EMS,Vehicles,Gasoline,2016,                  -  ,,,,,,,,,
ICLEI: Local Government Operations Protocol,Emergency Medical Services,EMS,Vehicles,Gasoline,2017,                  -  ,,,,,,,,,
ICLEI: Local Government Operations Protocol,Emergency Medical Services,EMS,Vehicles,Gasoline,2018,                  -  ,,,,,,,,,
ICLEI: Local Government Operations Protocol,Emergency Medical Services,EMS,Vehicles,Gasoline,2019,                  -  ,,,,,,,,,
ICLEI: Local Government Operations Protocol,Fire,Fire,Buildings,Electricity,2005,"2,183",,,,,,,,,
ICLEI: Local Government Operations Protocol,Fire,Fire,Buildings,Electricity,2006,"2,081",,,,,,,,,
ICLEI: Local Government Operations Protocol,Fire,Fire,Buildings,Electricity,2007,"2,190",,,,,,,,,
ICLEI: Local Government Operations Protocol,Fire,Fire,Buildings,Electricity,2008,"2,294",,,,,,,,,
ICLEI: Local Government Operations Protocol,Fire,Fire,Buildings,Electricity,2009,"2,182",,,,,,,,,
ICLEI: Local Government Operations Protocol,Fire,Fire,Buildings,Electricity,2010,"2,083",,,,,,,,,
ICLEI: Local Government Operations Protocol,Fire,Fire,Buildings,Electricity,2011,"2,155",,,,,,,,,
ICLEI: Local Government Operations Protocol,Fire,Fire,Buildings,Electricity,2012,"1,936",,,,,,,,,
ICLEI: Local Government Operations Protocol,Fire,Fire,Buildings,Electricity,2013,"1,846",,,,,,,,,
ICLEI: Local Government Operations Protocol,Fire,Fire,Buildings,Electricity,2014,"1,868",,,,,,,,,
ICLEI: Local Government Operations Protocol,Fire,Fire,Buildings,Electricity,2015,"1,889",,,,,,,,,
ICLEI: Local Government Operations Protocol,Fire,Fire,Buildings,Electricity,2016,"1,830",,,,,,,,,
ICLEI: Local Government Operations Protocol,Fire,Fire,Buildings,Electricity,2017,1687,,,,,,,,,
ICLEI: Local Government Operations Protocol,Fire,Fire,Buildings,Electricity,2018,1713,,,,,,,,,
ICLEI: Local Government Operations Protocol,Fire,Fire,Buildings,Electricity,2019,1670,,,,,,,,,
ICLEI: Local Government Operations Protocol,Fire,Fire,Buildings,Fuel Oil,2005,532,,,,,,,,,
ICLEI: Local Government Operations Protocol,Fire,Fire,Buildings,Fuel Oil,2006,210,,,,,,,,,
ICLEI: Local Government Operations Protocol,Fire,Fire,Buildings,Fuel Oil,2007,192,,,,,,,,,
ICLEI: Local Government Operations Protocol,Fire,Fire,Buildings,Fuel Oil,2008,207,,,,,,,,,
ICLEI: Local Government Operations Protocol,Fire,Fire,Buildings,Fuel Oil,2009,254,,,,,,,,,
ICLEI: Local Government Operations Protocol,Fire,Fire,Buildings,Fuel Oil,2010,193,,,,,,,,,
ICLEI: Local Government Operations Protocol,Fire,Fire,Buildings,Fuel Oil,2011,227,,,,,,,,,
ICLEI: Local Government Operations Protocol,Fire,Fire,Buildings,Fuel Oil,2012,210,,,,,,,,,
ICLEI: Local Government Operations Protocol,Fire,Fire,Buildings,Fuel Oil,2013,246,,,,,,,,,
ICLEI: Local Government Operations Protocol,Fire,Fire,Buildings,Fuel Oil,2014,162,,,,,,,,,
ICLEI: Local Government Operations Protocol,Fire,Fire,Buildings,Fuel Oil,2015,154,,,,,,,,,
ICLEI: Local Government Operations Protocol,Fire,Fire,Buildings,Fuel Oil,2016,71,,,,,,,,,
ICLEI: Local Government Operations Protocol,Fire,Fire,Buildings,Fuel Oil,2017,97,,,,,,,,,
ICLEI: Local Government Operations Protocol,Fire,Fire,Buildings,Fuel Oil,2018,126,,,,,,,,,
ICLEI: Local Government Operations Protocol,Fire,Fire,Buildings,Fuel Oil,2019,73,,,,,,,,,
ICLEI: Local Government Operations Protocol,Fire,Fire,Buildings,Natural Gas,2005,"2,361",,,,,,,,,
ICLEI: Local Government Operations Protocol,Fire,Fire,Buildings,Natural Gas,2006,"2,725",,,,,,,,,
ICLEI: Local Government Operations Protocol,Fire,Fire,Buildings,Natural Gas,2007,"2,727",,,,,,,,,
ICLEI: Local Government Operations Protocol,Fire,Fire,Buildings,Natural Gas,2008,"2,768",,,,,,,,,
ICLEI: Local Government Operations Protocol,Fire,Fire,Buildings,Natural Gas,2009,"2,690",,,,,,,,,
ICLEI: Local Government Operations Protocol,Fire,Fire,Buildings,Natural Gas,2010,"1,876",,,,,,,,,
ICLEI: Local Government Operations Protocol,Fire,Fire,Buildings,Natural Gas,2011,"2,243",,,,,,,,,
ICLEI: Local Government Operations Protocol,Fire,Fire,Buildings,Natural Gas,2012,"1,783",,,,,,,,,
ICLEI: Local Government Operations Protocol,Fire,Fire,Buildings,Natural Gas,2013,"2,082",,,,,,,,,
ICLEI: Local Government Operations Protocol,Fire,Fire,Buildings,Natural Gas,2014,"2,349",,,,,,,,,
ICLEI: Local Government Operations Protocol,Fire,Fire,Buildings,Natural Gas,2015,"2,352",,,,,,,,,
ICLEI: Local Government Operations Protocol,Fire,Fire,Buildings,Natural Gas,2016,"2,467",,,,,,,,,
ICLEI: Local Government Operations Protocol,Fire,Fire,Buildings,Natural Gas,2017,2423,,,,,,,,,
ICLEI: Local Government Operations Protocol,Fire,Fire,Buildings,Natural Gas,2018,2454,,,,,,,,,
ICLEI: Local Government Operations Protocol,Fire,Fire,Buildings,Natural Gas,2019,2568,,,,,,,,,
ICLEI: Local Government Operations Protocol,Fire,Fire,Vehicles,Diesel,2005,"1,599",,,,,,,,,
ICLEI: Local Government Operations Protocol,Fire,Fire,Vehicles,Diesel,2006,"1,578",,,,,,,,,
ICLEI: Local Government Operations Protocol,Fire,Fire,Vehicles,Diesel,2007,"2,074",,,,,,,,,
ICLEI: Local Government Operations Protocol,Fire,Fire,Vehicles,Diesel,2008,"1,954",,,,,,,,,
ICLEI: Local Government Operations Protocol,Fire,Fire,Vehicles,Diesel,2009,"1,954",,,,,,,,,
ICLEI: Local Government Operations Protocol,Fire,Fire,Vehicles,Diesel,2010,"2,000",,,,,,,,,
ICLEI: Local Government Operations Protocol,Fire,Fire,Vehicles,Diesel,2011,"2,079",,,,,,,,,
ICLEI: Local Government Operations Protocol,Fire,Fire,Vehicles,Diesel,2012,"2,013",,,,,,,,,
ICLEI: Local Government Operations Protocol,Fire,Fire,Vehicles,Diesel,2013,"1,997",,,,,,,,,
ICLEI: Local Government Operations Protocol,Fire,Fire,Vehicles,Diesel,2014,"2,281",,,,,,,,,
ICLEI: Local Government Operations Protocol,Fire,Fire,Vehicles,Diesel,2015,1871,,,,,,,,,
ICLEI: Local Government Operations Protocol,Fire,Fire,Vehicles,Diesel,2016,2896,,,,,,,,,
ICLEI: Local Government Operations Protocol,Fire,Fire,Vehicles,Diesel,2017,1959,,,,,,,,,
ICLEI: Local Government Operations Protocol,Fire,Fire,Vehicles,Diesel,2018,3282,,,,,,,,,
ICLEI: Local Government Operations Protocol,Fire,Fire,Vehicles,Diesel,2019,3154,,,,,,,,,
ICLEI: Local Government Operations Protocol,Fire,Fire,Vehicles,Gasoline,2005,758,,,,,,,,,
ICLEI: Local Government Operations Protocol,Fire,Fire,Vehicles,Gasoline,2006,758,,,,,,,,,
ICLEI: Local Government Operations Protocol,Fire,Fire,Vehicles,Gasoline,2007,795,,,,,,,,,
ICLEI: Local Government Operations Protocol,Fire,Fire,Vehicles,Gasoline,2008,770,,,,,,,,,
ICLEI: Local Government Operations Protocol,Fire,Fire,Vehicles,Gasoline,2009,688,,,,,,,,,
ICLEI: Local Government Operations Protocol,Fire,Fire,Vehicles,Gasoline,2010,648,,,,,,,,,
ICLEI: Local Government Operations Protocol,Fire,Fire,Vehicles,Gasoline,2011,646,,,,,,,,,
ICLEI: Local Government Operations Protocol,Fire,Fire,Vehicles,Gasoline,2012,195,,,,,,,,,
ICLEI: Local Government Operations Protocol,Fire,Fire,Vehicles,Gasoline,2013,182,,,,,,,,,
ICLEI: Local Government Operations Protocol,Fire,Fire,Vehicles,Gasoline,2014,590,,,,,,,,,
ICLEI: Local Government Operations Protocol,Fire,Fire,Vehicles,Gasoline,2015,"1,445",,,,,,,,,
ICLEI: Local Government Operations Protocol,Fire,Fire,Vehicles,Gasoline,2016,665,,,,,,,,,
ICLEI: Local Government Operations Protocol,Fire,Fire,Vehicles,Gasoline,2017,705,,,,,,,,,
ICLEI: Local Government Operations Protocol,Fire,Fire,Vehicles,Gasoline,2018,245,,,,,,,,,
ICLEI: Local Government Operations Protocol,Fire,Fire,Vehicles,Gasoline,2019,674,,,,,,,,,
ICLEI: Local Government Operations Protocol,Inspectional Services,ISD,Buildings,Electricity,2005,217,,,,,,,,,
ICLEI: Local Government Operations Protocol,Inspectional Services,ISD,Buildings,Electricity,2006,205,,,,,,,,,
ICLEI: Local Government Operations Protocol,Inspectional Services,ISD,Buildings,Electricity,2007,154,,,,,,,,,
ICLEI: Local Government Operations Protocol,Inspectional Services,ISD,Buildings,Electricity,2008,247,,,,,,,,,
ICLEI: Local Government Operations Protocol,Inspectional Services,ISD,Buildings,Electricity,2009,226,,,,,,,,,
ICLEI: Local Government Operations Protocol,Inspectional Services,ISD,Buildings,Electricity,2010,215,,,,,,,,,
ICLEI: Local Government Operations Protocol,Inspectional Services,ISD,Buildings,Electricity,2011,210,,,,,,,,,
ICLEI: Local Government Operations Protocol,Inspectional Services,ISD,Buildings,Electricity,2012,240,,,,,,,,,
ICLEI: Local Government Operations Protocol,Inspectional Services,ISD,Buildings,Electricity,2013,231,,,,,,,,,
ICLEI: Local Government Operations Protocol,Inspectional Services,ISD,Buildings,Electricity,2014,224,,,,,,,,,
ICLEI: Local Government Operations Protocol,Inspectional Services,ISD,Buildings,Electricity,2015,222,,,,,,,,,
ICLEI: Local Government Operations Protocol,Inspectional Services,ISD,Buildings,Electricity,2016,207,,,,,,,,,
ICLEI: Local Government Operations Protocol,Inspectional Services,ISD,Buildings,Electricity,2017,220,,,,,,,,,
ICLEI: Local Government Operations Protocol,Inspectional Services,ISD,Buildings,Electricity,2018,189,,,,,,,,,
ICLEI: Local Government Operations Protocol,Inspectional Services,ISD,Buildings,Electricity,2019,168,,,,,,,,,
ICLEI: Local Government Operations Protocol,Inspectional Services,ISD,Vehicles,Diesel,2005,                  -  ,,,,,,,,,
ICLEI: Local Government Operations Protocol,Inspectional Services,ISD,Vehicles,Diesel,2006,                  -  ,,,,,,,,,
ICLEI: Local Government Operations Protocol,Inspectional Services,ISD,Vehicles,Diesel,2007,                  -  ,,,,,,,,,
ICLEI: Local Government Operations Protocol,Inspectional Services,ISD,Vehicles,Diesel,2008,10,,,,,,,,,
ICLEI: Local Government Operations Protocol,Inspectional Services,ISD,Vehicles,Diesel,2009,14,,,,,,,,,
ICLEI: Local Government Operations Protocol,Inspectional Services,ISD,Vehicles,Diesel,2010,11,,,,,,,,,
ICLEI: Local Government Operations Protocol,Inspectional Services,ISD,Vehicles,Diesel,2011,5,,,,,,,,,
ICLEI: Local Government Operations Protocol,Inspectional Services,ISD,Vehicles,Diesel,2012,7,,,,,,,,,
ICLEI: Local Government Operations Protocol,Inspectional Services,ISD,Vehicles,Diesel,2013,11,,,,,,,,,
ICLEI: Local Government Operations Protocol,Inspectional Services,ISD,Vehicles,Diesel,2014,8,,,,,,,,,
ICLEI: Local Government Operations Protocol,Inspectional Services,ISD,Vehicles,Diesel,2015,                  -  ,,,,,,,,,
ICLEI: Local Government Operations Protocol,Inspectional Services,ISD,Vehicles,Diesel,2016,                  -  ,,,,,,,,,
ICLEI: Local Government Operations Protocol,Inspectional Services,ISD,Vehicles,Diesel,2017,                  -  ,,,,,,,,,
ICLEI: Local Government Operations Protocol,Inspectional Services,ISD,Vehicles,Diesel,2018,                  -  ,,,,,,,,,
ICLEI: Local Government Operations Protocol,Inspectional Services,ISD,Vehicles,Diesel,2019,                  -  ,,,,,,,,,
ICLEI: Local Government Operations Protocol,Inspectional Services,ISD,Vehicles,Gasoline,2005,                  -  ,,,,,,,,,
ICLEI: Local Government Operations Protocol,Inspectional Services,ISD,Vehicles,Gasoline,2006,                  -  ,,,,,,,,,
ICLEI: Local Government Operations Protocol,Inspectional Services,ISD,Vehicles,Gasoline,2007,                  -  ,,,,,,,,,
ICLEI: Local Government Operations Protocol,Inspectional Services,ISD,Vehicles,Gasoline,2008,154,,,,,,,,,
ICLEI: Local Government Operations Protocol,Inspectional Services,ISD,Vehicles,Gasoline,2009,130,,,,,,,,,
ICLEI: Local Government Operations Protocol,Inspectional Services,ISD,Vehicles,Gasoline,2010,121,,,,,,,,,
ICLEI: Local Government Operations Protocol,Inspectional Services,ISD,Vehicles,Gasoline,2011,131,,,,,,,,,
ICLEI: Local Government Operations Protocol,Inspectional Services,ISD,Vehicles,Gasoline,2012,126,,,,,,,,,
ICLEI: Local Government Operations Protocol,Inspectional Services,ISD,Vehicles,Gasoline,2013,134,,,,,,,,,
ICLEI: Local Government Operations Protocol,Inspectional Services,ISD,Vehicles,Gasoline,2014,121,,,,,,,,,
ICLEI: Local Government Operations Protocol,Inspectional Services,ISD,Vehicles,Gasoline,2015,                  -  ,,,,,,,,,
ICLEI: Local Government Operations Protocol,Inspectional Services,ISD,Vehicles,Gasoline,2016,                  -  ,,,,,,,,,
ICLEI: Local Government Operations Protocol,Inspectional Services,ISD,Vehicles,Gasoline,2017,                  -  ,,,,,,,,,
ICLEI: Local Government Operations Protocol,Inspectional Services,ISD,Vehicles,Gasoline,2018,                  -  ,,,,,,,,,
ICLEI: Local Government Operations Protocol,Inspectional Services,ISD,Vehicles,Gasoline,2019,                  -  ,,,,,,,,,
ICLEI: Local Government Operations Protocol,Library,Library,Buildings,Electricity,2005,"7,316",,,,,,,,,
ICLEI: Local Government Operations Protocol,Library,Library,Buildings,Electricity,2006,"7,564",,,,,,,,,
ICLEI: Local Government Operations Protocol,Library,Library,Buildings,Electricity,2007,"7,208",,,,,,,,,
ICLEI: Local Government Operations Protocol,Library,Library,Buildings,Electricity,2008,"7,408",,,,,,,,,
ICLEI: Local Government Operations Protocol,Library,Library,Buildings,Electricity,2009,"6,471",,,,,,,,,
ICLEI: Local Government Operations Protocol,Library,Library,Buildings,Electricity,2010,"5,521",,,,,,,,,
ICLEI: Local Government Operations Protocol,Library,Library,Buildings,Electricity,2011,"4,892",,,,,,,,,
ICLEI: Local Government Operations Protocol,Library,Library,Buildings,Electricity,2012,"4,556",,,,,,,,,
ICLEI: Local Government Operations Protocol,Library,Library,Buildings,Electricity,2013,"4,162",,,,,,,,,
ICLEI: Local Government Operations Protocol,Library,Library,Buildings,Electricity,2014,"3,979",,,,,,,,,
ICLEI: Local Government Operations Protocol,Library,Library,Buildings,Electricity,2015,"3,825",,,,,,,,,
ICLEI: Local Government Operations Protocol,Library,Library,Buildings,Electricity,2016,"3,705",,,,,,,,,
ICLEI: Local Government Operations Protocol,Library,Library,Buildings,Electricity,2017,3839,,,,,,,,,
ICLEI: Local Government Operations Protocol,Library,Library,Buildings,Electricity,2018,3924,,,,,,,,,
ICLEI: Local Government Operations Protocol,Library,Library,Buildings,Electricity,2019,4249,,,,,,,,,
ICLEI: Local Government Operations Protocol,Library,Library,Buildings,Fuel Oil,2005,178,,,,,,,,,
ICLEI: Local Government Operations Protocol,Library,Library,Buildings,Fuel Oil,2006,210,,,,,,,,,
ICLEI: Local Government Operations Protocol,Library,Library,Buildings,Fuel Oil,2007,206,,,,,,,,,
ICLEI: Local Government Operations Protocol,Library,Library,Buildings,Fuel Oil,2008,179,,,,,,,,,
ICLEI: Local Government Operations Protocol,Library,Library,Buildings,Fuel Oil,2009,48,,,,,,,,,
ICLEI: Local Government Operations Protocol,Library,Library,Buildings,Fuel Oil,2010,                  -  ,,,,,,,,,
ICLEI: Local Government Operations Protocol,Library,Library,Buildings,Fuel Oil,2011,                  -  ,,,,,,,,,
ICLEI: Local Government Operations Protocol,Library,Library,Buildings,Fuel Oil,2012,                  -  ,,,,,,,,,
ICLEI: Local Government Operations Protocol,Library,Library,Buildings,Fuel Oil,2013,                  -  ,,,,,,,,,
ICLEI: Local Government Operations Protocol,Library,Library,Buildings,Fuel Oil,2014,                  -  ,,,,,,,,,
ICLEI: Local Government Operations Protocol,Library,Library,Buildings,Fuel Oil,2015,                  -  ,,,,,,,,,
ICLEI: Local Government Operations Protocol,Library,Library,Buildings,Fuel Oil,2016,                  -  ,,,,,,,,,
ICLEI: Local Government Operations Protocol,Library,Library,Buildings,Fuel Oil,2017,                  -  ,,,,,,,,,
ICLEI: Local Government Operations Protocol,Library,Library,Buildings,Fuel Oil,2018,                  -  ,,,,,,,,,
ICLEI: Local Government Operations Protocol,Library,Library,Buildings,Fuel Oil,2019,                  -  ,,,,,,,,,
ICLEI: Local Government Operations Protocol,Library,Library,Buildings,Natural Gas,2005,955,,,,,,,,,
ICLEI: Local Government Operations Protocol,Library,Library,Buildings,Natural Gas,2006,920,,,,,,,,,
ICLEI: Local Government Operations Protocol,Library,Library,Buildings,Natural Gas,2007,"1,002",,,,,,,,,
ICLEI: Local Government Operations Protocol,Library,Library,Buildings,Natural Gas,2008,910,,,,,,,,,
ICLEI: Local Government Operations Protocol,Library,Library,Buildings,Natural Gas,2009,882,,,,,,,,,
ICLEI: Local Government Operations Protocol,Library,Library,Buildings,Natural Gas,2010,"1,051",,,,,,,,,
ICLEI: Local Government Operations Protocol,Library,Library,Buildings,Natural Gas,2011,900,,,,,,,,,
ICLEI: Local Government Operations Protocol,Library,Library,Buildings,Natural Gas,2012,745,,,,,,,,,
ICLEI: Local Government Operations Protocol,Library,Library,Buildings,Natural Gas,2013,812,,,,,,,,,
ICLEI: Local Government Operations Protocol,Library,Library,Buildings,Natural Gas,2014,752,,,,,,,,,
ICLEI: Local Government Operations Protocol,Library,Library,Buildings,Natural Gas,2015,993,,,,,,,,,
ICLEI: Local Government Operations Protocol,Library,Library,Buildings,Natural Gas,2016,870,,,,,,,,,
ICLEI: Local Government Operations Protocol,Library,Library,Buildings,Natural Gas,2017,806,,,,,,,,,
ICLEI: Local Government Operations Protocol,Library,Library,Buildings,Natural Gas,2018,823,,,,,,,,,
ICLEI: Local Government Operations Protocol,Library,Library,Buildings,Natural Gas,2019,773,,,,,,,,,
ICLEI: Local Government Operations Protocol,Library,Library,Buildings,Steam,2005,"5,950",,,,,,,,,
ICLEI: Local Government Operations Protocol,Library,Library,Buildings,Steam,2006,"5,837",,,,,,,,,
ICLEI: Local Government Operations Protocol,Library,Library,Buildings,Steam,2007,"4,463",,,,,,,,,
ICLEI: Local Government Operations Protocol,Library,Library,Buildings,Steam,2008,"3,400",,,,,,,,,
ICLEI: Local Government Operations Protocol,Library,Library,Buildings,Steam,2009,"2,850",,,,,,,,,
ICLEI: Local Government Operations Protocol,Library,Library,Buildings,Steam,2010,"2,611",,,,,,,,,
ICLEI: Local Government Operations Protocol,Library,Library,Buildings,Steam,2011,"2,885",,,,,,,,,
ICLEI: Local Government Operations Protocol,Library,Library,Buildings,Steam,2012,"2,973",,,,,,,,,
ICLEI: Local Government Operations Protocol,Library,Library,Buildings,Steam,2013,"2,635",,,,,,,,,
ICLEI: Local Government Operations Protocol,Library,Library,Buildings,Steam,2014,"2,726",,,,,,,,,
ICLEI: Local Government Operations Protocol,Library,Library,Buildings,Steam,2015,"2,034",,,,,,,,,
ICLEI: Local Government Operations Protocol,Library,Library,Buildings,Steam,2016,"2,107",,,,,,,,,
ICLEI: Local Government Operations Protocol,Library,Library,Buildings,Steam,2017,3462,,,,,,,,,
ICLEI: Local Government Operations Protocol,Library,Library,Buildings,Steam,2018,2041,,,,,,,,,
ICLEI: Local Government Operations Protocol,Library,Library,Buildings,Steam,2019,2071,,,,,,,,,
ICLEI: Local Government Operations Protocol,Library,Library,Unknown,Diesel,2005,                  -  ,,,,,,,,,
ICLEI: Local Government Operations Protocol,Library,Library,Unknown,Diesel,2006,                  -  ,,,,,,,,,
ICLEI: Local Government Operations Protocol,Library,Library,Unknown,Diesel,2007,                  -  ,,,,,,,,,
ICLEI: Local Government Operations Protocol,Library,Library,Unknown,Diesel,2008,                  -  ,,,,,,,,,
ICLEI: Local Government Operations Protocol,Library,Library,Unknown,Diesel,2009,                  -  ,,,,,,,,,
ICLEI: Local Government Operations Protocol,Library,Library,Unknown,Diesel,2010,                  -  ,,,,,,,,,
ICLEI: Local Government Operations Protocol,Library,Library,Unknown,Diesel,2011,                  -  ,,,,,,,,,
ICLEI: Local Government Operations Protocol,Library,Library,Unknown,Diesel,2012,4,,,,,,,,,
ICLEI: Local Government Operations Protocol,Library,Library,Unknown,Diesel,2013,                  -  ,,,,,,,,,
ICLEI: Local Government Operations Protocol,Library,Library,Unknown,Diesel,2014,                  -  ,,,,,,,,,
ICLEI: Local Government Operations Protocol,Library,Library,Unknown,Diesel,2015,                  -  ,,,,,,,,,
ICLEI: Local Government Operations Protocol,Library,Library,Unknown,Diesel,2016,2,,,,,,,,,
ICLEI: Local Government Operations Protocol,Library,Library,Unknown,Diesel,2017,2,,,,,,,,,
ICLEI: Local Government Operations Protocol,Library,Library,Unknown,Diesel,2018,2,,,,,,,,,
ICLEI: Local Government Operations Protocol,Library,Library,Unknown,Diesel,2019,-,,,,,,,,,
ICLEI: Local Government Operations Protocol,Library,Library,Vehicles,Gasoline,2005,54,,,,,,,,,
ICLEI: Local Government Operations Protocol,Library,Library,Vehicles,Gasoline,2006,54,,,,,,,,,
ICLEI: Local Government Operations Protocol,Library,Library,Vehicles,Gasoline,2007,54,,,,,,,,,
ICLEI: Local Government Operations Protocol,Library,Library,Vehicles,Gasoline,2008,51,,,,,,,,,
ICLEI: Local Government Operations Protocol,Library,Library,Vehicles,Gasoline,2009,48,,,,,,,,,
ICLEI: Local Government Operations Protocol,Library,Library,Vehicles,Gasoline,2010,28,,,,,,,,,
ICLEI: Local Government Operations Protocol,Library,Library,Vehicles,Gasoline,2011,38,,,,,,,,,
ICLEI: Local Government Operations Protocol,Library,Library,Vehicles,Gasoline,2012,43,,,,,,,,,
ICLEI: Local Government Operations Protocol,Library,Library,Vehicles,Gasoline,2013,49,,,,,,,,,
ICLEI: Local Government Operations Protocol,Library,Library,Vehicles,Gasoline,2014,53,,,,,,,,,
ICLEI: Local Government Operations Protocol,Library,Library,Vehicles,Gasoline,2015,                  -  ,,,,,,,,,
ICLEI: Local Government Operations Protocol,Library,Library,Vehicles,Gasoline,2016,                  -  ,,,,,,,,,
ICLEI: Local Government Operations Protocol,Library,Library,Vehicles,Gasoline,2017,                  -  ,,,,,,,,,
ICLEI: Local Government Operations Protocol,Library,Library,Vehicles,Gasoline,2018,                  -  ,,,,,,,,,
ICLEI: Local Government Operations Protocol,Library,Library,Vehicles,Gasoline,2019,                  -  ,,,,,,,,,
ICLEI: Local Government Operations Protocol,Neighborhood Development,DND,Buildings,Electricity,2005,135,,,,,,,,,
ICLEI: Local Government Operations Protocol,Neighborhood Development,DND,Buildings,Electricity,2006,65,,,,,,,,,
ICLEI: Local Government Operations Protocol,Neighborhood Development,DND,Buildings,Electricity,2007,69,,,,,,,,,
ICLEI: Local Government Operations Protocol,Neighborhood Development,DND,Buildings,Electricity,2008,60,,,,,,,,,
ICLEI: Local Government Operations Protocol,Neighborhood Development,DND,Buildings,Electricity,2009,59,,,,,,,,,
ICLEI: Local Government Operations Protocol,Neighborhood Development,DND,Buildings,Electricity,2010,74,,,,,,,,,
ICLEI: Local Government Operations Protocol,Neighborhood Development,DND,Buildings,Electricity,2011,95,,,,,,,,,
ICLEI: Local Government Operations Protocol,Neighborhood Development,DND,Buildings,Electricity,2012,75,,,,,,,,,
ICLEI: Local Government Operations Protocol,Neighborhood Development,DND,Buildings,Electricity,2013,39,,,,,,,,,
ICLEI: Local Government Operations Protocol,Neighborhood Development,DND,Buildings,Electricity,2014,47,,,,,,,,,
ICLEI: Local Government Operations Protocol,Neighborhood Development,DND,Buildings,Electricity,2015,5,,,,,,,,,
ICLEI: Local Government Operations Protocol,Neighborhood Development,DND,Buildings,Electricity,2016,3,,,,,,,,,
ICLEI: Local Government Operations Protocol,Neighborhood Development,DND,Buildings,Electricity,2017,3,,,,,,,,,
ICLEI: Local Government Operations Protocol,Neighborhood Development,DND,Buildings,Electricity,2018,45,,,,,,,,,
ICLEI: Local Government Operations Protocol,Neighborhood Development,DND,Buildings,Electricity,2019,37,,,,,,,,,
ICLEI: Local Government Operations Protocol,Neighborhood Development,DND,Buildings,Fuel Oil,2005,                  -  ,,,,,,,,,
ICLEI: Local Government Operations Protocol,Neighborhood Development,DND,Buildings,Fuel Oil,2006,                  -  ,,,,,,,,,
ICLEI: Local Government Operations Protocol,Neighborhood Development,DND,Buildings,Fuel Oil,2007,                  -  ,,,,,,,,,
ICLEI: Local Government Operations Protocol,Neighborhood Development,DND,Buildings,Fuel Oil,2008,                  -  ,,,,,,,,,
ICLEI: Local Government Operations Protocol,Neighborhood Development,DND,Buildings,Fuel Oil,2009,                  -  ,,,,,,,,,
ICLEI: Local Government Operations Protocol,Neighborhood Development,DND,Buildings,Fuel Oil,2010,                  -  ,,,,,,,,,
ICLEI: Local Government Operations Protocol,Neighborhood Development,DND,Buildings,Fuel Oil,2011,82,,,,,,,,,
