Protocol,Sector,Source,Year(Calendar Year), GHG Emissions(mt CO2e) ,,,,,,,,
Global Protocol for Community-Scale Greenhouse Gas Emission Inventories,Commercial/Industrial/Large Residential,Steam,2005,"304,006",,,,,,,,
Global Protocol for Community-Scale Greenhouse Gas Emission Inventories,Commercial/Industrial/Large Residential,Steam,2006,"219,342",,,,,,,,
Global Protocol for Community-Scale Greenhouse Gas Emission Inventories,Commercial/Industrial/Large Residential,Steam,2007,"198,224",,,,,,,,
Global Protocol for Community-Scale Greenhouse Gas Emission Inventories,Commercial/Industrial/Large Residential,Steam,2008,"184,180",,,,,,,,
Global Protocol for Community-Scale Greenhouse Gas Emission Inventories,Commercial/Industrial/Large Residential,Steam,2009,"154,148",,,,,,,,
Global Protocol for Community-Scale Greenhouse Gas Emission Inventories,Commercial/Industrial/Large Residential,Steam,2010,"132,181",,,,,,,,
Global Protocol for Community-Scale Greenhouse Gas Emission Inventories,Commercial/Industrial/Large Residential,Steam,2011,"162,114",,,,,,,,
Global Protocol for Community-Scale Greenhouse Gas Emission Inventories,Commercial/Industrial/Large Residential,Steam,2012,"134,436",,,,,,,,
Global Protocol for Community-Scale Greenhouse Gas Emission Inventories,Commercial/Industrial/Large Residential,Steam,2013,"176,616",,,,,,,,
Global Protocol for Community-Scale Greenhouse Gas Emission Inventories,Commercial/Industrial/Large Residential,Steam,2014,"193,990",,,,,,,,
Global Protocol for Community-Scale Greenhouse Gas Emission Inventories,Commercial/Industrial/Large Residential,Steam,2015,"101,790",,,,,,,,
Global Protocol for Community-Scale Greenhouse Gas Emission Inventories,Commercial/Industrial/Large Residential,Steam,2016,"127,661",,,,,,,,
Global Protocol for Community-Scale Greenhouse Gas Emission Inventories,Commercial/Industrial/Large Residential,Steam,2017,"76,242",,,,,,,,
Global Protocol for Community-Scale Greenhouse Gas Emission Inventories,Commercial/Industrial/Large Residential,Steam,2018,"103,774",,,,,,,,
Global Protocol for Community-Scale Greenhouse Gas Emission Inventories,Commercial/Industrial/Large Residential,Steam,2019,"74,788",,,,,,,,
Global Protocol for Community-Scale Greenhouse Gas Emission Inventories,Small Residential,Electricity,2005,"545,778",,,,,,,,
Global Protocol for Community-Scale Greenhouse Gas Emission Inventories,Small Residential,Electricity,2006,"460,610",,,,,,,,
Global Protocol for Community-Scale Greenhouse Gas Emission Inventories,Small Residential,Electricity,2007,"517,384",,,,,,,,
Global Protocol for Community-Scale Greenhouse Gas Emission Inventories,Small Residential,Electricity,2008,"506,594",,,,,,,,
Global Protocol for Community-Scale Greenhouse Gas Emission Inventories,Small Residential,Electricity,2009,"464,085",,,,,,,,
Global Protocol for Community-Scale Greenhouse Gas Emission Inventories,Small Residential,Electricity,2010,"497,202",,,,,,,,
