Protocol,Sector,Source,Year(Calendar Year), GHG Emissions(mt CO2e) ,,,,,,,,
Global Protocol for Community-Scale Greenhouse Gas Emission Inventories,Transportation,MBTA Diesel,2018,"57,390",,,,,,,,
Global Protocol for Community-Scale Greenhouse Gas Emission Inventories,Transportation,MBTA Diesel,2019,"55,320",,,,,,,,
Global Protocol for Community-Scale Greenhouse Gas Emission Inventories,Transportation,MBTA Electricity,2005,"71,503",,,,,,,,
Global Protocol for Community-Scale Greenhouse Gas Emission Inventories,Transportation,MBTA Electricity,2006,"57,175",,,,,,,,
Global Protocol for Community-Scale Greenhouse Gas Emission Inventories,Transportation,MBTA Electricity,2007,"67,421",,,,,,,,
Global Protocol for Community-Scale Greenhouse Gas Emission Inventories,Transportation,MBTA Electricity,2008,"67,423",,,,,,,,
Global Protocol for Community-Scale Greenhouse Gas Emission Inventories,Transportation,MBTA Electricity,2009,"62,015",,,,,,,,
Global Protocol for Community-Scale Greenhouse Gas Emission Inventories,Transportation,MBTA Electricity,2010,"62,054",,,,,,,,
Global Protocol for Community-Scale Greenhouse Gas Emission Inventories,Transportation,MBTA Electricity,2011,"58,497",,,,,,,,
Global Protocol for Community-Scale Greenhouse Gas Emission Inventories,Transportation,MBTA Electricity,2012,"54,730",,,,,,,,
Global Protocol for Community-Scale Greenhouse Gas Emission Inventories,Transportation,MBTA Electricity,2013,"55,757",,,,,,,,
Global Protocol for Community-Scale Greenhouse Gas Emission Inventories,Transportation,MBTA Electricity,2014,"56,429",,,,,,,,
Global Protocol for Community-Scale Greenhouse Gas Emission Inventories,Transportation,MBTA Electricity,2015,"56,116",,,,,,,,
Global Protocol for Community-Scale Greenhouse Gas Emission Inventories,Transportation,MBTA Electricity,2016,"53,090",,,,,,,,
Global Protocol for Community-Scale Greenhouse Gas Emission Inventories,Transportation,MBTA Electricity,2017,"49,756",,,,,,,,
Global Protocol for Community-Scale Greenhouse Gas Emission Inventories,Transportation,MBTA Electricity,2018,"48,140",,,,,,,,
Global Protocol for Community-Scale Greenhouse Gas Emission Inventories,Transportation,MBTA Electricity,2019,"45,999",,,,,,,,
Global Protocol for Community-Scale Greenhouse Gas Emission Inventories,Transportation,MBTA Gasoline,2005,"6,984",,,,,,,,
Global Protocol for Community-Scale Greenhouse Gas Emission Inventories,Transportation,MBTA Gasoline,2006,"7,009",,,,,,,,
Global Protocol for Community-Scale Greenhouse Gas Emission Inventories,Transportation,MBTA Gasoline,2007,"7,106",,,,,,,,
Global Protocol for Community-Scale Greenhouse Gas Emission Inventories,Transportation,MBTA Gasoline,2008,"7,253",,,,,,,,
Global Protocol for Community-Scale Greenhouse Gas Emission Inventories,Transportation,MBTA Gasoline,2009,"7,105",,,,,,,,
Global Protocol for Community-Scale Greenhouse Gas Emission Inventories,Transportation,MBTA Gasoline,2010,"7,393",,,,,,,,
Global Protocol for Community-Scale Greenhouse Gas Emission Inventories,Transportation,MBTA Gasoline,2011,"8,135",,,,,,,,
Global Protocol for Community-Scale Greenhouse Gas Emission Inventories,Transportation,MBTA Gasoline,2012,"8,419",,,,,,,,
Global Protocol for Community-Scale Greenhouse Gas Emission Inventories,Transportation,MBTA Gasoline,2013,"7,269",,,,,,,,
Global Protocol for Community-Scale Greenhouse Gas Emission Inventories,Transportation,MBTA Gasoline,2014,"7,396",,,,,,,,
Global Protocol for Community-Scale Greenhouse Gas Emission Inventories,Transportation,MBTA Gasoline,2015,"7,688",,,,,,,,
Global Protocol for Community-Scale Greenhouse Gas Emission Inventories,Transportation,MBTA Gasoline,2016,"8,045",,,,,,,,
Global Protocol for Community-Scale Greenhouse Gas Emission Inventories,Transportation,MBTA Gasoline,2017,"6,812",,,,,,,,
Global Protocol for Community-Scale Greenhouse Gas Emission Inventories,Transportation,MBTA Gasoline,2018,"7,376",,,,,,,,
Global Protocol for Community-Scale Greenhouse Gas Emission Inventories,Transportation,MBTA Gasoline,2019,"7,643",,,,,,,,
Global Protocol for Community-Scale Greenhouse Gas Emission Inventories,Transportation,Other municipal fleets,2005,"18,949",,,,,,,,
Global Protocol for Community-Scale Greenhouse Gas Emission Inventories,Transportation,Other municipal fleets,2006,"19,615",,,,,,,,
Global Protocol for Community-Scale Greenhouse Gas Emission Inventories,Transportation,Other municipal fleets,2007,"19,957",,,,,,,,
Global Protocol for Community-Scale Greenhouse Gas Emission Inventories,Transportation,Other municipal fleets,2008,"19,752",,,,,,,,
Global Protocol for Community-Scale Greenhouse Gas Emission Inventories,Transportation,Other municipal fleets,2009,"19,264",,,,,,,,
Global Protocol for Community-Scale Greenhouse Gas Emission Inventories,Transportation,Other municipal fleets,2010,"18,626",,,,,,,,
Global Protocol for Community-Scale Greenhouse Gas Emission Inventories,Transportation,Other municipal fleets,2011,"18,454",,,,,,,,
Global Protocol for Community-Scale Greenhouse Gas Emission Inventories,Transportation,Other municipal fleets,2012,"18,926",,,,,,,,
Global Protocol for Community-Scale Greenhouse Gas Emission Inventories,Transportation,Other municipal fleets,2013,"19,358",,,,,,,,
Global Protocol for Community-Scale Greenhouse Gas Emission Inventories,Transportation,Other municipal fleets,2014,"20,832",,,,,,,,
Global Protocol for Community-Scale Greenhouse Gas Emission Inventories,Transportation,Other municipal fleets,2015,"20,995",,,,,,,,
Global Protocol for Community-Scale Greenhouse Gas Emission Inventories,Transportation,Other municipal fleets,2016,"18,640",,,,,,,,
Global Protocol for Community-Scale Greenhouse Gas Emission Inventories,Transportation,Other municipal fleets,2017,"17,166",,,,,,,,
Global Protocol for Community-Scale Greenhouse Gas Emission Inventories,Transportation,Other municipal fleets,2018,"16,343",,,,,,,,
Global Protocol for Community-Scale Greenhouse Gas Emission Inventories,Transportation,Other municipal fleets,2019,"15,423",,,,,,,,
Global Protocol for Community-Scale Greenhouse Gas Emission Inventories,Transportation,Vehicle Fuel,2005,"1,702,810",,,,,,,,
Global Protocol for Community-Scale Greenhouse Gas Emission Inventories,Transportation,Vehicle Fuel,2006,"1,704,181",,,,,,,,
Global Protocol for Community-Scale Greenhouse Gas Emission Inventories,Transportation,Vehicle Fuel,2007,"1,746,063",,,,,,,,
Global Protocol for Community-Scale Greenhouse Gas Emission Inventories,Transportation,Vehicle Fuel,2008,"1,674,556",,,,,,,,
Global Protocol for Community-Scale Greenhouse Gas Emission Inventories,Transportation,Vehicle Fuel,2009,"1,637,330",,,,,,,,
Global Protocol for Community-Scale Greenhouse Gas Emission Inventories,Transportation,Vehicle Fuel,2010,"1,644,095",,,,,,,,
Global Protocol for Community-Scale Greenhouse Gas Emission Inventories,Transportation,Vehicle Fuel,2011,"1,641,156",,,,,,,,
Global Protocol for Community-Scale Greenhouse Gas Emission Inventories,Transportation,Vehicle Fuel,2012,"1,593,701",,,,,,,,
Global Protocol for Community-Scale Greenhouse Gas Emission Inventories,Transportation,Vehicle Fuel,2013,"1,648,512",,,,,,,,
Global Protocol for Community-Scale Greenhouse Gas Emission Inventories,Transportation,Vehicle Fuel,2014,"1,605,918",,,,,,,,
Global Protocol for Community-Scale Greenhouse Gas Emission Inventories,Transportation,Vehicle Fuel,2015,"1,689,830",,,,,,,,
Global Protocol for Community-Scale Greenhouse Gas Emission Inventories,Transportation,Vehicle Fuel,2016,"1,670,189",,,,,,,,
Global Protocol for Community-Scale Greenhouse Gas Emission Inventories,Transportation,Vehicle Fuel,2017,"1,616,859",,,,,,,,
Global Protocol for Community-Scale Greenhouse Gas Emission Inventories,Transportation,Vehicle Fuel,2018,"1,679,455",,,,,,,,
Global Protocol for Community-Scale Greenhouse Gas Emission Inventories,Transportation,Vehicle Fuel,2019,"1,677,381",,,,,,,,
Global Protocol for Community-Scale Greenhouse Gas Emission Inventories,Waste,Waste Water,2005,"16,821",,,,,,,,
Global Protocol for Community-Scale Greenhouse Gas Emission Inventories,Waste,Waste Water,2006,"16,693",,,,,,,,
Global Protocol for Community-Scale Greenhouse Gas Emission Inventories,Waste,Waste Water,2007,"16,894",,,,,,,,
Global Protocol for Community-Scale Greenhouse Gas Emission Inventories,Waste,Waste Water,2008,"17,089",,,,,,,,
Global Protocol for Community-Scale Greenhouse Gas Emission Inventories,Waste,Waste Water,2009,"17,384",,, ,,,,,
Global Protocol for Community-Scale Greenhouse Gas Emission Inventories,Waste,Waste Water,2010,"17,282",,,,,,,,
Global Protocol for Community-Scale Greenhouse Gas Emission Inventories,Waste,Waste Water,2011,"17,414",,,,,,,,
Global Protocol for Community-Scale Greenhouse Gas Emission Inventories,Waste,Waste Water,2012,"17,636",,,,,,,,
Global Protocol for Community-Scale Greenhouse Gas Emission Inventories,Waste,Waste Water,2013,"17,887",,,,,,,,
Global Protocol for Community-Scale Greenhouse Gas Emission Inventories,Waste,Waste Water,2014,"17,919",,,,,,,,
Global Protocol for Community-Scale Greenhouse Gas Emission Inventories,Waste,Waste Water,2015,"17,923",,,,,,,,
Global Protocol for Community-Scale Greenhouse Gas Emission Inventories,Waste,Waste Water,2016,"17,404",,,,,,,,
Global Protocol for Community-Scale Greenhouse Gas Emission Inventories,Waste,Waste Water,2017,"17,363",,,,,,,,
Global Protocol for Community-Scale Greenhouse Gas Emission Inventories,Waste,Waste Water,2018,"17,549",,,,,,,,
Global Protocol for Community-Scale Greenhouse Gas Emission Inventories,Waste,Waste Water,2019,"18,321",,,,,,,,
Global Protocol for Community-Scale Greenhouse Gas Emission Inventories,Waste,Compost,2018,698,,,,,,,,
Global Protocol for Community-Scale Greenhouse Gas Emission Inventories,Waste,Compost,2019,699,,,,,,,,
